token_ID_within_document,word,lemma,before,after,word_lc
310,Conduct,Conduct,#, ,conduct
311,may,may,#, ,may
312,be,be,#, ,be
313,founded,found,#, ,founded
314,on,on,#, ,on
315,the,the,#, ,the
316,hard,hard,#, ,hard
317,rock,rock,#, ,rock
318,or,or,#, ,or
319,the,the,#, ,the
320,wet,wet,#, ,wet
321,marshes,marsh,#,#,marshes
322,",",",",#, ,","
323,but,but,#, ,but
324,after,after,#, ,after
325,a,a,#, ,a
326,certain,certain,#, ,certain
327,point,point,#, ,point
328,I,I,#, ,i
329,do,do,#,#,do
330,n’t,not,#, ,n’t
331,care,care,#, ,care
332,what,what,#, ,what
333,it,it,#,#,it
334,’s,’s,#, ,’s
335,founded,found,#, ,founded
336,on,on,#,#,on
337,.,.,#, ,.
338,When,when,#, ,when
339,I,I,#, ,i
340,came,come,#, ,came
341,back,back,#, ,back
342,from,from,#, ,from
343,the,the,#, ,the
344,East,East,#, ,east
345,last,last,#, ,last
346,autumn,autumn,#, ,autumn
347,I,I,#, ,i
348,felt,feel,#, ,felt
349,that,that,#, ,that
350,I,I,#, ,i
351,wanted,want,#, ,wanted
352,the,the,#, ,the
353,world,world,#, ,world
354,to,to,#, ,to
355,be,be,#, ,be
356,in,in,#, ,in
357,uniform,uniform,#, ,uniform
358,and,and,#, ,and
359,at,at,#, ,at
360,a,a,#, ,a
361,sort,sort,#, ,sort
362,of,of,#, ,of
363,moral,moral,#, ,moral
364,attention,attention,#, ,attention
365,forever,forever,#,#,forever
366,;,;,#, ,;
367,I,I,#, ,i
368,wanted,want,#, ,wanted
369,no,no,#, ,no
370,more,more,#, ,more
371,riotous,riotous,#, ,riotous
372,excursions,excursion,#, ,excursions
373,with,with,#, ,with
374,privileged,privileged,#, ,privileged
375,glimpses,glimpse,#, ,glimpses
376,into,into,#, ,into
377,the,the,#, ,the
378,human,human,#, ,human
379,heart,heart,#,#,heart
380,.,.,#, ,.
381,Only,only,#, ,only
382,Gatsby,Gatsby,#,#,gatsby
383,",",",",#, ,","
384,the,the,#, ,the
385,man,man,#, ,man
386,who,who,#, ,who
387,gives,give,#, ,gives
388,his,his,#, ,his
389,name,name,#, ,name
390,to,to,#, ,to
391,this,this,#, ,this
392,book,book,#,#,book
393,",",",",#, ,","
394,was,be,#, ,was
395,exempt,exempt,#, ,exempt
396,from,from,#, ,from
397,my,my,#, ,my
398,reaction,reaction,#,#,reaction
399,-,-,#,#,-
400,Gatsby,Gatsby,#,#,gatsby
401,",",",",#, ,","
402,who,who,#, ,who
403,represented,represent,#, ,represented
404,everything,everything,#, ,everything
405,for,for,#, ,for
406,which,which,#, ,which
407,I,I,#, ,i
408,have,have,#, ,have
409,an,an,#, ,an
410,unaffected,unaffected,#, ,unaffected
411,scorn,scorn,#,#,scorn
412,.,.,#, ,.
413,If,if,#, ,if
414,personality,personality,#, ,personality
415,is,be,#, ,is
416,an,an,#, ,an
417,unbroken,unbroken,#, ,unbroken
418,series,series,#, ,series
419,of,of,#, ,of
420,successful,successful,#, ,successful
421,gestures,gesture,#,#,gestures
422,",",",",#, ,","
423,then,then,#, ,then
424,there,there,#, ,there
425,was,be,#, ,was
426,something,something,#, ,something
427,gorgeous,gorgeous,#, ,gorgeous
428,about,about,#, ,about
429,him,he,#,#,him
430,",",",",#, ,","
431,some,some,#, ,some
432,heightened,heightened,#, ,heightened
433,sensitivity,sensitivity,#, ,sensitivity
434,to,to,#, ,to
435,the,the,#, ,the
436,promises,promise,#, ,promises
437,of,of,#, ,of
438,life,life,#,#,life
439,",",",",#, ,","
440,as,as,#, ,as
441,if,if,#, ,if
442,he,he,#, ,he
443,were,be,#, ,were
444,related,relate,#, ,related
445,to,to,#, ,to
446,one,one,#, ,one
447,of,of,#, ,of
448,those,those,#, ,those
449,intricate,intricate,#, ,intricate
450,machines,machine,#, ,machines
451,that,that,#, ,that
452,register,register,#, ,register
453,earthquakes,earthquake,#, ,earthquakes
454,ten,ten,#, ,ten
455,thousand,thousand,#, ,thousand
456,miles,mile,#, ,miles
457,away,away,#,#,away
458,.,.,#, ,.
459,This,this,#, ,this
460,responsiveness,responsiveness,#, ,responsiveness
461,had,have,#, ,had
462,nothing,nothing,#, ,nothing
463,to,to,#, ,to
464,do,do,#, ,do
465,with,with,#, ,with
466,that,that,#, ,that
467,flabby,flabby,#, ,flabby
468,impressionability,impressionability,#, ,impressionability
469,which,which,#, ,which
470,is,be,#, ,is
471,dignified,dignified,#, ,dignified
472,under,under,#, ,under
473,the,the,#, ,the
474,name,name,#, ,name
475,of,of,#, ,of
476,the,the,#, ,the
477,"""",2415,#,#,""""
478,creative,creative,#, ,creative
479,temperament,temperament,#,#,temperament
480,"""",2436,#, ,""""
481,-it,-it,#, ,-it
482,was,be,#, ,was
483,an,an,#, ,an
484,extraordinary,extraordinary,#, ,extraordinary
485,gift,gift,#, ,gift
486,for,for,#, ,for
487,hope,hope,#,#,hope
488,",",",",#, ,","
489,a,a,#, ,a
490,romantic,romantic,#, ,romantic
491,readiness,readiness,#, ,readiness
492,such,such,#, ,such
493,as,as,#, ,as
494,I,I,#, ,i
495,have,have,#, ,have
496,never,never,#, ,never
497,found,find,#, ,found
498,in,in,#, ,in
499,any,any,#, ,any
500,other,other,#, ,other
501,person,person,#, ,person
502,and,and,#, ,and
503,which,which,#, ,which
504,it,it,#, ,it
505,is,be,#, ,is
506,not,not,#, ,not
507,likely,likely,#, ,likely
508,I,I,#, ,i
509,shall,shall,#, ,shall
510,ever,ever,#, ,ever
511,find,find,#, ,find
512,again,again,#,#,again
513,.,.,#, ,.
514,No,no,#,#,no
515,-,-,#,#,-
516,Gatsby,Gatsby,#, ,gatsby
517,turned,turn,#, ,turned
518,out,out,#, ,out
519,all,all,#, ,all
520,right,right,#, ,right
521,at,at,#, ,at
522,the,the,#, ,the
523,end,end,#,#,end
524,;,;,#, ,;
525,it,it,#, ,it
526,is,be,#, ,is
527,what,what,#, ,what
528,preyed,prey,#, ,preyed
529,on,on,#, ,on
530,Gatsby,Gatsby,#,#,gatsby
531,",",",",#, ,","
532,what,what,#, ,what
533,foul,foul,#, ,foul
534,dust,dust,#, ,dust
535,floated,float,#, ,floated
536,in,in,#, ,in
537,the,the,#, ,the
538,wake,wake,#, ,wake
539,of,of,#, ,of
540,his,his,#, ,his
541,dreams,dream,#, ,dreams
542,that,that,#, ,that
543,temporarily,temporarily,#, ,temporarily
544,closed,close,#, ,closed
545,out,out,#, ,out
546,my,my,#, ,my
547,interest,interest,#, ,interest
548,in,in,#, ,in
549,the,the,#, ,the
550,abortive,abortive,#, ,abortive
551,sorrows,sorrow,#, ,sorrows
552,and,and,#, ,and
553,short,short,#,#,short
554,-,-,#,#,-
555,winded,wind,#, ,winded
556,elations,elation,#, ,elations
557,of,of,#, ,of
558,men,man,#,#,men
559,.,.,#, ,.
560,My,my,#, ,my
561,family,family,#, ,family
562,have,have,#, ,have
563,been,be,#, ,been
564,prominent,prominent,#,#,prominent
565,",",",",#, ,","
566,well,well,#,#,well
567,-,-,#,#,-
568,to,to,#,#,to
569,-,-,#,#,-
570,do,do,#, ,do
571,people,people,#, ,people
572,in,in,#, ,in
573,this,this,#, ,this
574,Middle,middle,#, ,middle
575,Western,western,#, ,western
576,city,city,#, ,city
577,for,for,#, ,for
578,three,three,#, ,three
579,generations,generation,#,#,generations
580,.,.,#, ,.
581,The,the,#, ,the
582,Carraways,Carraways,#, ,carraways
583,are,be,#, ,are
584,something,something,#, ,something
585,of,of,#, ,of
586,a,a,#, ,a
587,clan,clan,#,#,clan
588,",",",",#, ,","
589,and,and,#, ,and
590,we,we,#, ,we
591,have,have,#, ,have
592,a,a,#, ,a
593,tradition,tradition,#, ,tradition
594,that,that,#, ,that
595,we,we,#,#,we
596,’re,’re,#, ,’re
597,descended,descend,#, ,descended
598,from,from,#, ,from
599,the,the,#, ,the
600,Dukes,duke,#, ,dukes
601,of,of,#, ,of
602,Buccleuch,Buccleuch,#,#,buccleuch
603,",",",",#, ,","
604,but,but,#, ,but
605,the,the,#, ,the
606,actual,actual,#, ,actual
607,founder,founder,#, ,founder
608,of,of,#, ,of
609,my,my,#, ,my
610,line,line,#, ,line
611,was,be,#, ,was
612,my,my,#, ,my
613,grandfather,grandfather,#,#,grandfather
614,’s,’s,#, ,’s
615,brother,brother,#,#,brother
616,",",",",#, ,","
617,who,who,#, ,who
618,came,come,#, ,came
619,here,here,#, ,here
620,in,in,#, ,in
621,fifty,fifty,#,#,fifty
622,-,-,#,#,-
623,one,one,#,#,one
624,",",",",#, ,","
625,sent,send,#, ,sent
626,a,a,#, ,a
627,substitute,substitute,#, ,substitute
628,to,to,#, ,to
629,the,the,#, ,the
630,Civil,Civil,#, ,civil
631,War,War,#,#,war
632,",",",",#, ,","
633,and,and,#, ,and
634,started,start,#, ,started
635,the,the,#, ,the
636,wholesale,wholesale,#, ,wholesale
637,hardware,hardware,#, ,hardware
638,business,business,#, ,business
639,that,that,#, ,that
640,my,my,#, ,my
641,father,father,#, ,father
642,carries,carry,#, ,carries
643,on,on,#, ,on
644,today,today,#,#,today
645,.,.,#, ,.
646,I,I,#, ,i
647,never,never,#, ,never
648,saw,see,#, ,saw
649,this,this,#, ,this
650,great,great,#,#,great
651,-,-,#,#,-
652,uncle,uncle,#,#,uncle
653,",",",",#, ,","
654,but,but,#, ,but
655,I,I,#,#,i
656,’m,’m,#, ,’m
657,supposed,suppose,#, ,supposed
658,to,to,#, ,to
659,look,look,#, ,look
660,like,like,#, ,like
661,him,he,#,#,him
662,-,-,#,#,-
663,with,with,#, ,with
664,special,special,#, ,special
665,reference,reference,#, ,reference
666,to,to,#, ,to
667,the,the,#, ,the
668,rather,rather,#, ,rather
669,hard,hard,#,#,hard
670,-,-,#,#,-
671,boiled,boiled,#, ,boiled
672,painting,painting,#, ,painting
673,that,that,#, ,that
674,hangs,hang,#, ,hangs
675,in,in,#, ,in
676,father,father,#,#,father
677,’s,’s,#, ,’s
678,office,office,#,#,office
679,.,.,#, ,.
680,I,I,#, ,i
681,graduated,graduate,#, ,graduated
682,from,from,#, ,from
683,New,New,#, ,new
684,Haven,Haven,#, ,haven
685,in,in,#, ,in
686,1915,1915,#,#,1915
687,",",",",#, ,","
688,just,just,#, ,just
689,a,a,#, ,a
690,quarter,quarter,#, ,quarter
691,of,of,#, ,of
692,a,a,#, ,a
693,century,century,#, ,century
694,after,after,#, ,after
695,my,my,#, ,my
696,father,father,#,#,father
697,",",",",#, ,","
698,and,and,#, ,and
699,a,a,#, ,a
700,little,little,#, ,little
701,later,later,#, ,later
702,I,I,#, ,i
703,participated,participate,#, ,participated
704,in,in,#, ,in
705,that,that,#, ,that
